ID,Ath_besthit,Araport11_defline
HORVU.MOREX.r2.1HG0066940.1,AT5G19151,hypothetical protein
HORVU.MOREX.r2.1HG0066950.1,AT1G49630,presequence protease 2
HORVU.MOREX.r2.1HG0066960.1,AT3G18900,ternary complex factor MIP1 leucine-zipper protein
HORVU.MOREX.r2.1HG0066980.1,AT4G25550,"Cleavage/polyadenylation specificity factor, 25kDa subunit"
HORVU.MOREX.r2.1HG0066990.1,AT4G29130,hexokinase 1
HORVU.MOREX.r2.1HG0067010.1,AT4G12540,hypothetical protein
HORVU.MOREX.r2.1HG0067020.1,AT1G28240,strawberry notch protein (DUF616)
HORVU.MOREX.r2.1HG0067040.1,AT4G27510,2-isopropylmalate synthase
HORVU.MOREX.r2.1HG0067070.1,AT5G61140,U5 small nuclear ribonucleoprotein helicase
HORVU.MOREX.r2.1HG0067080.1,AT4G27510,2-isopropylmalate synthase
HORVU.MOREX.r2.1HG0067100.1,AT4G23150,cysteine-rich RLK (RECEPTOR-like protein kinase) 7
HORVU.MOREX.r2.1HG0067130.1,,
HORVU.MOREX.r2.1HG0067140.1,AT4G29910,origin recognition complex protein 5
HORVU.MOREX.r2.1HG0067170.1,AT1G74240,Mitochondrial substrate carrier family protein
HORVU.MOREX.r2.1HG0067180.1,AT1G29640,"senescence regulator (Protein of unknown function, DUF584)"
HORVU.MOREX.r2.1HG0067190.1,AT1G29640,"senescence regulator (Protein of unknown function, DUF584)"
HORVU.MOREX.r2.1HG0067200.1,AT2G42800,receptor like protein 29
HORVU.MOREX.r2.1HG0067220.1,AT2G34260,transducin family protein / WD-40 repeat family protein
HORVU.MOREX.r2.1HG0067230.1,AT3G01090,SNF1 kinase homolog 10
HORVU.MOREX.r2.1HG0067240.1,AT4G18880,heat shock transcription factor A4A
HORVU.MOREX.r2.1HG0067250.1,AT4G14960,Tubulin/FtsZ family protein
HORVU.MOREX.r2.1HG0067260.1,AT3G14830,epstein-barr nuclear antigen
HORVU.MOREX.r2.1HG0067320.1,AT2G42750,DNAJ heat shock N-terminal domain-containing protein
HORVU.MOREX.r2.1HG0067350.1,AT4G18820,AAA-type ATPase family protein
HORVU.MOREX.r2.1HG0067370.1,AT4G34135,UDP-glucosyltransferase 73B2
HORVU.MOREX.r2.1HG0067380.1,AT1G53400,Ubiquitin domain-containing protein
HORVU.MOREX.r2.1HG0067390.1,AT1G29330,ER lumen protein retaining receptor family protein
HORVU.MOREX.r2.1HG0067400.1,AT4G14440,3-hydroxyacyl-CoA dehydratase 1
HORVU.MOREX.r2.1HG0067430.1,AT3G14690,"cytochrome P450, family 72, subfamily A, polypeptide 15"
HORVU.MOREX.r2.1HG0067440.1,AT2G20120,CONTINUOUS VASCULAR RING protein (DUF502)
HORVU.MOREX.r2.1HG0067450.1,AT3G26730,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0067490.1,AT3G47520,malate dehydrogenase
HORVU.MOREX.r2.1HG0067500.1,AT2G47160,HCO3- transporter family
HORVU.MOREX.r2.1HG0067510.1,AT3G25690,Hydroxyproline-rich glycoprotein family protein
HORVU.MOREX.r2.1HG0067540.1,AT1G16740,Ribosomal protein L20
HORVU.MOREX.r2.1HG0067550.1,AT5G61190,putative endonuclease or glycosyl hydrolase with C2H2-type zinc finger domain-containing protein
HORVU.MOREX.r2.1HG0067570.1,AT4G29440,Regulator of Vps4 activity in the MVB pathway protein
HORVU.MOREX.r2.1HG0067580.1,AT1G15240,phox (PX) domain-containing protein
HORVU.MOREX.r2.1HG0067660.1,AT1G19080,GINS complex protein
HORVU.MOREX.r2.1HG0067690.1,AT1G64060,respiratory burst oxidase protein F
HORVU.MOREX.r2.1HG0067720.1,AT3G16520,UDP-glucosyl transferase 88A1
HORVU.MOREX.r2.1HG0067760.1,AT1G67810,sulfur E2
HORVU.MOREX.r2.1HG0067770.1,AT3G16520,UDP-glucosyl transferase 88A1
HORVU.MOREX.r2.1HG0067870.1,AT2G46150,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
HORVU.MOREX.r2.1HG0067880.1,AT3G61550,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0067900.1,AT4G23630,VIRB2-interacting protein 1
HORVU.MOREX.r2.1HG0067910.1,AT5G52880,F-box family protein
HORVU.MOREX.r2.1HG0067920.1,AT3G55250,calcium homeostasis regulator
HORVU.MOREX.r2.1HG0067940.1,AT4G29190,Zinc finger C-x8-C-x5-C-x3-H type family protein
HORVU.MOREX.r2.1HG0067950.1,AT4G23720,"transmembrane protein, putative (DUF1191)"
HORVU.MOREX.r2.1HG0067960.1,AT4G02750,Tetratricopeptide repeat (TPR)-like superfamily protein
HORVU.MOREX.r2.1HG0067980.1,,
HORVU.MOREX.r2.1HG0068050.1,AT4G14342,Splicing factor 3B subunit 5/RDS3 complex subunit 10
HORVU.MOREX.r2.1HG0068060.1,AT5G60335,hydroxyacyl-thioester dehydratase type-like protein
HORVU.MOREX.r2.1HG0068080.1,AT2G18940,Tetratricopeptide repeat (TPR)-like superfamily protein
HORVU.MOREX.r2.1HG0068170.1,AT4G14440,3-hydroxyacyl-CoA dehydratase 1
HORVU.MOREX.r2.1HG0068180.1,AT5G27210,"Protein of unknown function, transmembrane-40"
HORVU.MOREX.r2.1HG0068190.1,AT5G12350,Regulator of chromosome condensation (RCC1) family with FYVE zinc finger domain-containing protein
HORVU.MOREX.r2.1HG0068220.1,AT4G34410,redox responsive transcription factor 1
HORVU.MOREX.r2.1HG0068230.1,AT4G34410,redox responsive transcription factor 1
HORVU.MOREX.r2.1HG0068250.1,AT5G23110,"Zinc finger, C3HC4 type (RING finger) family protein"
HORVU.MOREX.r2.1HG0068260.1,AT5G47780,galacturonosyltransferase 4
HORVU.MOREX.r2.1HG0068290.1,AT2G39670,Radical SAM superfamily protein
HORVU.MOREX.r2.1HG0068360.1,AT4G33500,Protein phosphatase 2C family protein
HORVU.MOREX.r2.1HG0068370.1,AT1G80980,stress response NST1-like protein
HORVU.MOREX.r2.1HG0068390.1,AT4G38180,FAR1-related sequence 5
HORVU.MOREX.r2.1HG0068420.1,AT1G18440,Peptidyl-tRNA hydrolase family protein
HORVU.MOREX.r2.1HG0068430.1,AT4G29840,Pyridoxal-5'-phosphate-dependent enzyme family protein
HORVU.MOREX.r2.1HG0068450.1,AT1G68840,related to ABI3/VP1 2
HORVU.MOREX.r2.1HG0068480.1,AT1G68840,related to ABI3/VP1 2
HORVU.MOREX.r2.1HG0068540.1,AT4G28070,AFG1-like ATPase family protein
HORVU.MOREX.r2.1HG0068550.1,AT2G22620,Rhamnogalacturonate lyase family protein
HORVU.MOREX.r2.1HG0068570.1,AT2G35670,VEFS-Box of polycomb protein
HORVU.MOREX.r2.1HG0068610.1,AT3G53040,"late embryogenesis abundant protein, putative / LEA protein"
HORVU.MOREX.r2.1HG0068630.1,AT5G65950,trafficking protein particle complex subunit-like protein
HORVU.MOREX.r2.1HG0068640.1,AT2G17210,Tetratricopeptide repeat (TPR)-like superfamily protein
HORVU.MOREX.r2.1HG0068660.1,AT3G15730,phospholipase D alpha 1
HORVU.MOREX.r2.1HG0068680.1,AT3G02600,lipid phosphate phosphatase 3
HORVU.MOREX.r2.1HG0068690.1,AT5G06710,homeobox leucine zipper protein
HORVU.MOREX.r2.1HG0068710.1,AT1G73760,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0068720.1,AT1G66840,PLASTID MOVEMENT IMPAIRED protein (DUF827)
HORVU.MOREX.r2.1HG0068730.1,AT3G19980,"flower-specific, phytochrome-associated protein phosphatase 3"
HORVU.MOREX.r2.1HG0068760.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0068780.1,AT3G51160,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.1HG0068840.1,AT1G18390,Serine/Threonine kinase family catalytic domain protein
HORVU.MOREX.r2.1HG0068850.1,AT3G18290,zinc finger protein-like protein
HORVU.MOREX.r2.1HG0068870.1,AT4G36080,phosphotransferases/inositol or phosphatidylinositol kinase
HORVU.MOREX.r2.1HG0068880.1,AT4G23160,cysteine-rich RECEPTOR-like kinase
HORVU.MOREX.r2.1HG0068890.1,AT1G67040,DnaA initiator-associating protein
HORVU.MOREX.r2.1HG0068900.1,AT1G25370,hypothetical protein (DUF1639)
HORVU.MOREX.r2.1HG0068940.1,AT5G10190,Major facilitator superfamily protein
HORVU.MOREX.r2.1HG0068960.1,AT1G25370,hypothetical protein (DUF1639)
HORVU.MOREX.r2.1HG0068990.1,AT3G22830,heat shock transcription factor A6B
HORVU.MOREX.r2.1HG0069000.1,AT4G25315,Expressed protein
HORVU.MOREX.r2.1HG0069010.1,AT5G43850,RmlC-like cupins superfamily protein
HORVU.MOREX.r2.1HG0069020.1,AT3G07800,Thymidine kinase
HORVU.MOREX.r2.1HG0069030.1,AT1G60170,pre-mRNA processing ribonucleoprotein binding region-containing protein
HORVU.MOREX.r2.1HG0069040.1,AT4G10260,pfkB-like carbohydrate kinase family protein
HORVU.MOREX.r2.1HG0069060.1,AT3G18390,CRS1 / YhbY (CRM) domain-containing protein
HORVU.MOREX.r2.1HG0069070.1,AT2G16365,F-box family protein
HORVU.MOREX.r2.1HG0069090.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0069120.1,AT5G25240,stress induced protein
HORVU.MOREX.r2.1HG0069130.1,AT5G25240,stress induced protein
HORVU.MOREX.r2.1HG0069140.1,AT5G25240,stress induced protein
HORVU.MOREX.r2.1HG0069150.1,AT5G25240,stress induced protein
HORVU.MOREX.r2.1HG0069180.1,AT3G56130,biotin/lipoyl attachment domain-containing protein
HORVU.MOREX.r2.1HG0069240.1,AT5G62230,ERECTA-like 1
HORVU.MOREX.r2.1HG0069250.1,AT3G49410,"Transcription factor IIIC, subunit 5"
HORVU.MOREX.r2.1HG0069290.1,AT4G38240,"alpha-1,3-mannosyl-glycoprotein beta-1,2-N-acetylglucosaminyltransferase"
HORVU.MOREX.r2.1HG0069300.1,AT4G18750,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0069320.1,AT5G57500,Galactosyltransferase family protein
HORVU.MOREX.r2.1HG0069330.1,AT4G19185,nodulin MtN21 /EamA-like transporter family protein
HORVU.MOREX.r2.1HG0069340.1,AT1G18080,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.1HG0069360.1,AT1G15020,quiescin-sulfhydryl oxidase 1
HORVU.MOREX.r2.1HG0069390.1,AT3G03280,hypothetical protein
HORVU.MOREX.r2.1HG0069410.1,AT5G63290,Radical SAM superfamily protein
HORVU.MOREX.r2.1HG0069440.1,AT5G51600,Microtubule associated protein (MAP65/ASE1) family protein
HORVU.MOREX.r2.1HG0069450.1,AT5G08680,ATP synthase alpha/beta family protein
HORVU.MOREX.r2.1HG0069480.1,AT1G60400,F-box/RNI-like superfamily protein
HORVU.MOREX.r2.1HG0069490.1,AT2G04865,"Aminotransferase-like, plant mobile domain family protein"
HORVU.MOREX.r2.1HG0069570.1,AT3G56510,RNA-binding (RRM/RBD/RNP motifs) family protein
HORVU.MOREX.r2.1HG0069590.1,AT3G12860,NOP56-like pre RNA processing ribonucleoprotein
HORVU.MOREX.r2.1HG0069610.1,AT3G03980,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.1HG0069640.1,AT4G10770,oligopeptide transporter 7
HORVU.MOREX.r2.1HG0069660.1,AT2G36890,Duplicated homeodomain-like superfamily protein
HORVU.MOREX.r2.1HG0069670.1,AT3G09740,syntaxin of plants 71
HORVU.MOREX.r2.1HG0069760.1,AT5G38110,anti- silencing function 1b
HORVU.MOREX.r2.1HG0069800.1,AT1G71140,MATE efflux family protein
HORVU.MOREX.r2.1HG0069810.1,AT3G07040,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0069820.1,AT1G70190,ribosomal protein L7/L12 domain-containing protein
HORVU.MOREX.r2.1HG0069830.1,AT5G49540,Rab5-interacting family protein
HORVU.MOREX.r2.1HG0069840.1,AT2G17890,calcium-dependent protein kinase 16
HORVU.MOREX.r2.1HG0069850.1,AT1G29820,Magnesium transporter CorA-like family protein
HORVU.MOREX.r2.1HG0069880.1,AT1G15110,phosphatidyl serine synthase family protein
HORVU.MOREX.r2.1HG0069900.1,AT1G22970,cyclin-D1-binding protein
HORVU.MOREX.r2.1HG0069920.1,AT5G45400,Replication factor-A protein 1-like protein
HORVU.MOREX.r2.1HG0069930.1,AT4G16760,acyl-CoA oxidase 1
HORVU.MOREX.r2.1HG0069950.1,AT3G02930,weak chloroplast movement under blue light protein (DUF827)
HORVU.MOREX.r2.1HG0069960.1,AT2G07728,hypothetical protein
HORVU.MOREX.r2.1HG0069970.1,AT4G11900,S-locus lectin protein kinase family protein
HORVU.MOREX.r2.1HG0069980.1,AT5G51020,crumpled leaf
HORVU.MOREX.r2.1HG0070000.1,AT5G45910,GDSL-like Lipase/Acylhydrolase superfamily protein
HORVU.MOREX.r2.1HG0070020.1,AT5G10240,asparagine synthetase 3
HORVU.MOREX.r2.1HG0070040.1,AT5G25510,Protein phosphatase 2A regulatory B subunit family protein
HORVU.MOREX.r2.1HG0070060.1,AT4G32590,2Fe-2S ferredoxin-like superfamily protein
HORVU.MOREX.r2.1HG0070100.1,AT3G20630,ubiquitin-specific protease 14
HORVU.MOREX.r2.1HG0070120.1,AT5G22330,P-loop containing nucleoside triphosphate hydrolases superfamily protein
HORVU.MOREX.r2.1HG0070130.1,AT1G07070,Ribosomal protein L35Ae family protein
HORVU.MOREX.r2.1HG0070170.1,AT5G06060,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.1HG0070210.1,AT5G63370,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0070240.1,AT4G13400,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
HORVU.MOREX.r2.1HG0070250.1,AT3G12530,PSF2
HORVU.MOREX.r2.1HG0070270.1,AT4G15560,Deoxyxylulose-5-phosphate synthase
HORVU.MOREX.r2.1HG0070310.1,AT5G49610,F-box family protein
HORVU.MOREX.r2.1HG0070320.1,AT5G42080,dynamin-like protein
HORVU.MOREX.r2.1HG0070340.1,AT5G56620,NAC domain containing protein 99
HORVU.MOREX.r2.1HG0070350.1,AT5G53390,O-acyltransferase (WSD1-like) family protein
HORVU.MOREX.r2.1HG0070360.1,AT3G61750,Cytochrome b561/ferric reductase transmembrane with DOMON related domain-containing protein
HORVU.MOREX.r2.1HG0070480.1,AT3G10950,Zinc-binding ribosomal protein family protein
HORVU.MOREX.r2.1HG0070490.1,AT1G78560,Sodium Bile acid symporter family
HORVU.MOREX.r2.1HG0070500.1,AT1G68390,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
HORVU.MOREX.r2.1HG0070560.1,AT1G68390,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
HORVU.MOREX.r2.1HG0070570.1,AT1G05030,Major facilitator superfamily protein
HORVU.MOREX.r2.1HG0070610.1,AT5G04050,RNA-directed DNA polymerase (reverse transcriptase)
HORVU.MOREX.r2.1HG0070620.1,AT4G30160,villin 4
HORVU.MOREX.r2.1HG0070630.1,AT1G50030,target of rapamycin
HORVU.MOREX.r2.1HG0070640.1,AT3G63340,kinase superfamily protein
HORVU.MOREX.r2.1HG0070660.1,AT3G12700,Eukaryotic aspartyl protease family protein
HORVU.MOREX.r2.1HG0070680.1,AT1G28380,MAC/Perforin domain-containing protein
HORVU.MOREX.r2.1HG0070690.1,AT3G15180,ARM repeat superfamily protein
HORVU.MOREX.r2.1HG0070720.1,AT3G15355,ubiquitin-conjugating enzyme 25
HORVU.MOREX.r2.1HG0070730.1,AT4G21700,"DUF2921 family protein, putative (DUF2921)"
HORVU.MOREX.r2.1HG0070800.1,AT2G33770,phosphate 2
HORVU.MOREX.r2.1HG0070820.1,AT4G30930,Ribosomal protein L21
HORVU.MOREX.r2.1HG0070830.1,AT3G45980,Histone superfamily protein
HORVU.MOREX.r2.1HG0070840.1,AT2G44970,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.1HG0070850.1,AT4G09670,Oxidoreductase family protein
HORVU.MOREX.r2.1HG0070870.1,AT5G04920,EAP30/Vps36 family protein
HORVU.MOREX.r2.1HG0070880.1,AT4G38380,MATE efflux family protein
HORVU.MOREX.r2.1HG0070890.1,AT4G38380,MATE efflux family protein
HORVU.MOREX.r2.1HG0070900.1,AT1G79620,Leucine-rich repeat protein kinase family protein
HORVU.MOREX.r2.1HG0070920.1,AT5G59710,VIRE2 interacting protein 2
HORVU.MOREX.r2.1HG0070930.1,AT1G07705,NOT2 / NOT3 / NOT5 family
HORVU.MOREX.r2.1HG0070940.1,AT1G66590,cytochrome c oxidase 19-1
HORVU.MOREX.r2.1HG0070950.1,AT3G58660,Ribosomal protein L1p/L10e family
HORVU.MOREX.r2.1HG0070980.1,AT5G58160,actin binding protein
HORVU.MOREX.r2.1HG0071000.1,AT5G52560,UDP-sugar pyrophosphorylase
HORVU.MOREX.r2.1HG0071010.1,AT1G64390,glycosyl hydrolase 9C2
HORVU.MOREX.r2.1HG0071020.1,AT4G28910,Putative interactor of JAZ
HORVU.MOREX.r2.1HG0071030.1,AT3G61620,3'-5'-exoribonuclease family protein
HORVU.MOREX.r2.1HG0071060.1,AT3G26760,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.1HG0071080.1,AT5G08630,DDT domain-containing protein
HORVU.MOREX.r2.1HG0071090.1,AT5G11550,ARM repeat superfamily protein
HORVU.MOREX.r2.1HG0071100.1,AT3G61600,POZ/BTB containin G-protein 1
HORVU.MOREX.r2.1HG0071110.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0071130.1,AT3G14470,NB-ARC domain-containing disease resistance protein
HORVU.MOREX.r2.1HG0071140.1,AT2G22670,indoleacetic acid-induced protein 8
HORVU.MOREX.r2.1HG0071150.1,AT1G05200,glutamate receptor 3.4
HORVU.MOREX.r2.1HG0071160.1,AT3G07310,"phosphoserine aminotransferase, putative (DUF760)"
HORVU.MOREX.r2.1HG0071210.1,AT5G49610,F-box family protein
HORVU.MOREX.r2.1HG0071220.1,AT1G14870,PLANT CADMIUM RESISTANCE 2
HORVU.MOREX.r2.1HG0071230.1,AT2G29290,NAD(P)-binding Rossmann-fold superfamily protein
HORVU.MOREX.r2.1HG0071260.1,AT5G51690,1-amino-cyclopropane-1-carboxylate synthase 12
HORVU.MOREX.r2.1HG0071270.1,AT1G27600,Nucleotide-diphospho-sugar transferases superfamily protein
HORVU.MOREX.r2.1HG0071320.1,AT1G73500,MAP kinase kinase 9
HORVU.MOREX.r2.1HG0071380.1,AT1G15440,periodic tryptophan protein 2
HORVU.MOREX.r2.1HG0071390.1,AT1G79830,golgin Putative 5
HORVU.MOREX.r2.1HG0071410.1,AT3G45840,Cysteine/Histidine-rich C1 domain family protein
HORVU.MOREX.r2.1HG0071420.1,AT5G27880,C2H2 and C2HC zinc fingers superfamily protein
HORVU.MOREX.r2.1HG0071430.1,AT1G19600,pfkB-like carbohydrate kinase family protein
HORVU.MOREX.r2.1HG0071450.1,ATMG00860,DNA/RNA polymerases superfamily protein
HORVU.MOREX.r2.1HG0071480.1,AT1G70460,root hair specific 10
HORVU.MOREX.r2.1HG0071500.1,AT2G43120,RmlC-like cupins superfamily protein
HORVU.MOREX.r2.1HG0071510.1,AT1G52230,photosystem I subunit H2
HORVU.MOREX.r2.1HG0071520.1,AT4G13240,RHO guanyl-nucleotide exchange factor 9
HORVU.MOREX.r2.1HG0071530.1,AT3G14880,transcription factor-like protein
HORVU.MOREX.r2.1HG0071570.1,AT2G13770,nuclease
HORVU.MOREX.r2.1HG0071590.1,AT1G66930,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0071600.1,AT3G14180,sequence-specific DNA binding transcription factor
HORVU.MOREX.r2.1HG0071620.1,AT1G16890,ubiquitin-conjugating enzyme 36
HORVU.MOREX.r2.1HG0071740.1,AT4G02210,Myb/SANT-like DNA-binding domain protein
HORVU.MOREX.r2.1HG0071810.1,AT1G53000,Nucleotide-diphospho-sugar transferases superfamily protein
HORVU.MOREX.r2.1HG0071820.1,AT1G48310,chromatin remodeling factor18
HORVU.MOREX.r2.1HG0071830.1,AT4G28300,formin-like protein (DUF1421)
HORVU.MOREX.r2.1HG0071860.1,AT1G74458,transmembrane protein
HORVU.MOREX.r2.1HG0071880.1,AT3G52600,cell wall invertase 2
HORVU.MOREX.r2.1HG0071890.1,AT2G16385,aspartate carbamoyltransferase
HORVU.MOREX.r2.1HG0071910.1,AT2G19130,S-locus lectin protein kinase family protein
HORVU.MOREX.r2.1HG0071940.1,AT1G13080,"cytochrome P450, family 71, subfamily B, polypeptide 2"
HORVU.MOREX.r2.1HG0071960.1,AT1G13080,"cytochrome P450, family 71, subfamily B, polypeptide 2"
HORVU.MOREX.r2.1HG0071970.1,AT3G05700,Drought-responsive family protein
HORVU.MOREX.r2.1HG0072040.1,AT2G20560,DNAJ heat shock family protein
HORVU.MOREX.r2.1HG0072050.1,AT5G44180,Homeodomain-like transcriptional regulator
HORVU.MOREX.r2.1HG0072060.1,AT1G64940,"cytochrome P450, family 87, subfamily A, polypeptide 6"
HORVU.MOREX.r2.1HG0072100.1,AT1G43760,DNAse I-like superfamily protein
HORVU.MOREX.r2.1HG0072120.1,AT5G56310,Pentatricopeptide repeat (PPR) superfamily protein
HORVU.MOREX.r2.1HG0072140.1,AT5G46070,Guanylate-binding family protein
HORVU.MOREX.r2.1HG0072150.1,AT3G51010,protein translocase subunit
HORVU.MOREX.r2.1HG0072160.1,AT5G57550,xyloglucan endotransglucosylase/hydrolase 25
HORVU.MOREX.r2.1HG0072180.1,AT1G48120,serine/threonine-protein phosphatase 7 long form-like protein
HORVU.MOREX.r2.1HG0072210.1,AT2G33860,Transcriptional factor B3 family protein / auxin-responsive factor AUX/IAA-like protein
HORVU.MOREX.r2.1HG0072250.1,AT1G37020,Cysteine proteinases superfamily protein
HORVU.MOREX.r2.1HG0072300.1,AT3G15150,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0072310.1,AT5G44130,FASCICLIN-like arabinogalactan protein 13 precursor
HORVU.MOREX.r2.1HG0072320.1,AT2G20520,FASCICLIN-like arabinogalactan 6
HORVU.MOREX.r2.1HG0072330.1,AT1G28480,Thioredoxin superfamily protein
HORVU.MOREX.r2.1HG0072340.1,AT1G73700,MATE efflux family protein
HORVU.MOREX.r2.1HG0072350.1,AT5G44150,phosphorelay protein
HORVU.MOREX.r2.1HG0072360.1,AT5G44170,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
HORVU.MOREX.r2.1HG0072370.1,AT1G50120,immunoglobulin
HORVU.MOREX.r2.1HG0072380.1,AT1G28480,Thioredoxin superfamily protein
HORVU.MOREX.r2.1HG0072390.1,AT5G42820,Zinc finger C-x8-C-x5-C-x3-H type family protein
HORVU.MOREX.r2.1HG0072410.1,AT1G23410,Ribosomal protein S27a / Ubiquitin family protein
HORVU.MOREX.r2.1HG0072440.1,AT5G48050,Copia-like polyprotein/retrotransposon
HORVU.MOREX.r2.1HG0072470.1,AT2G30350,"Excinuclease ABC, C subunit, N-terminal"
HORVU.MOREX.r2.1HG0072480.1,AT1G32160,beta-casein (DUF760)
HORVU.MOREX.r2.1HG0072520.1,AT1G18360,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.1HG0072580.1,AT4G11270,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.1HG0072620.1,AT3G15070,RING/U-box superfamily protein
HORVU.MOREX.r2.1HG0072630.1,AT5G60860,RAB GTPase homolog A1F
HORVU.MOREX.r2.1HG0072640.1,AT4G00590,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
HORVU.MOREX.r2.1HG0072650.1,AT1G44080,F-box SKIP23-like protein (DUF295)
HORVU.MOREX.r2.1HG0072660.1,AT2G26160,F-box SKIP23-like protein (DUF295)
HORVU.MOREX.r2.1HG0072690.1,AT3G25750,F-box SKIP23-like protein (DUF295)
HORVU.MOREX.r2.1HG0072750.1,AT1G09970,Leucine-rich receptor-like protein kinase family protein
HORVU.MOREX.r2.1HG0072780.1,AT1G17080,Ribosomal protein L18ae family
HORVU.MOREX.r2.1HG0072790.1,AT2G34480,Ribosomal protein L18ae/LX family protein
HORVU.MOREX.r2.1HG0072800.1,AT2G30890,Cytochrome b561/ferric reductase transmembrane protein family
HORVU.MOREX.r2.1HG0072840.1,AT1G43760,DNAse I-like superfamily protein
HORVU.MOREX.r2.1HG0072850.1,AT4G29090,Ribonuclease H-like superfamily protein
HORVU.MOREX.r2.1HG0072860.1,AT2G34470,urease accessory protein G
HORVU.MOREX.r2.1HG0072870.1,AT3G51460,Phosphoinositide phosphatase family protein
HORVU.MOREX.r2.1HG0072920.1,AT3G23870,magnesium transporter NIPA (DUF803)
HORVU.MOREX.r2.1HG0072930.1,AT5G01930,Glycosyl hydrolase superfamily protein
HORVU.MOREX.r2.1HG0072940.1,AT4G29120,6-phosphogluconate dehydrogenase family protein
HORVU.MOREX.r2.1HG0072950.1,AT3G21900,Receptor-like protein kinase-related family protein
HORVU.MOREX.r2.1HG0073000.1,AT1G29860,WRKY DNA-binding protein 71
HORVU.MOREX.r2.1HG0073030.1,AT2G45590,Protein kinase superfamily protein
HORVU.MOREX.r2.1HG0073040.1,AT5G08430,SWIB/MDM2 and Plus-3 and GYF domain-containing protein
HORVU.MOREX.r2.1HG0073050.1,AT4G23160,cysteine-rich RECEPTOR-like kinase
HORVU.MOREX.r2.1HG0073060.1,AT1G29890,O-acetyltransferase family protein
HORVU.MOREX.r2.1HG0073070.1,AT2G29200,pumilio 1
HORVU.MOREX.r2.1HG0073100.1,AT3G54540,general control non-repressible 4
HORVU.MOREX.r2.1HG0073110.1,AT1G43140,Cullin family protein
HORVU.MOREX.r2.1HG0073120.1,AT4G31150,endonuclease V family protein
HORVU.MOREX.r2.1HG0073140.1,AT3G54540,general control non-repressible 4
HORVU.MOREX.r2.1HG0073180.1,AT2G42880,MAP kinase 20
HORVU.MOREX.r2.1HG0073210.1,AT1G19485,Transducin/WD40 repeat-like superfamily protein
HORVU.MOREX.r2.1HG0073220.1,AT5G46420,16S rRNA processing protein RimM family
HORVU.MOREX.r2.1HG0073230.1,AT4G23180,cysteine-rich RLK (RECEPTOR-like protein kinase) 10
HORVU.MOREX.r2.1HG0073250.1,AT5G28840,"GDP-D-mannose 3',5'-epimerase"
HORVU.MOREX.r2.1HG0073300.1,AT3G51550,Malectin/receptor-like protein kinase family protein
HORVU.MOREX.r2.1HG0073350.1,AT3G15095,Serine/Threonine-kinase pakA-like protein
HORVU.MOREX.r2.1HG0073360.1,AT4G18550,alpha/beta-Hydrolases superfamily protein
HORVU.MOREX.r2.1HG0073370.1,AT2G22740,SU(VAR)3-9 homolog 6
HORVU.MOREX.r2.1HG0073380.1,AT4G20980,Eukaryotic translation initiation factor 3 subunit 7 (eIF-3)
HORVU.MOREX.r2.1HG0073390.1,AT5G64130,cAMP-regulated phosphoprotein 19-related protein
HORVU.MOREX.r2.1HG0073400.1,AT1G29395,COLD REGULATED 314 INNER MEMBRANE 1
HORVU.MOREX.r2.1HG0073410.1,AT1G29390,cold regulated 314 thylakoid membrane 2
HORVU.MOREX.r2.1HG0073420.1,AT3G27030,transmembrane protein
HORVU.MOREX.r2.1HG0073430.1,AT5G48385,FRIGIDA-like protein
HORVU.MOREX.r2.1HG0073450.1,AT2G34420,photosystem II light harvesting complex protein B1B2
HORVU.MOREX.r2.1HG0073470.1,AT1G29930,chlorophyll A/B binding protein 1
